ELEM          N11          N22          N12          M11          M22          M12          Q13          Q23
     6957     2886.7664588837651536     1236.2514473373792043       -0.1279646888932775     -259.5066271540404159      -74.5095099673562800       -0.0838172640156508       -0.0094493092738930       -0.0255418396036384
     6958     2886.9026744245475129     1236.4699400234580935       -0.3840453698022824     -259.7322812658649127      -74.5044734256944139       -0.2524905947056936       -0.0276508729284904       -0.0257567017015595
     6959     2887.1748127636415120     1236.9059901751134021       -0.6410398665925254     -260.1700179486747402      -74.4900816893602951       -0.4234908846655940       -0.0437928001121625       -0.0261824186930625
     6960     2887.5822890419199211     1237.5577066123305485       -0.8995595182636872     -260.7928479871502532      -74.4577524986523258       -0.5983418129776928       -0.0565126253486278       -0.0268126657056933
     6961     2888.1242266853246292     1238.4221869921068446       -1.1602264321721825     -261.5605860988794120      -74.3947275478803931       -0.7785246793997924       -0.0644960558873364       -0.0276375905969981
     6962     2888.7994589038044069     1239.4954408164653614       -1.4236790353585116     -262.4202992670921049      -74.2842383240022173       -0.9654654471058455       -0.0664720852569369       -0.0286443000684703
     6963     2889.6065303356976983     1240.7722897336652750       -1.6905594885990012     -263.3068141621934046      -74.1056977794312388       -1.1605167741434330       -0.0612335501803842       -0.0298165136159672
     6964     2890.5436992046329578     1242.2462476367154522       -1.9615345944031939     -264.1433726905802359      -73.8349461342706945       -1.3649405212095924       -0.0476477145546281       -0.0311349450430449
     6965     2891.6089406660039458     1243.9093833691645159       -2.2372895905883237     -264.8424567000743082      -73.4445561766358423       -1.5798912220803292       -0.0246777940054232       -0.0325771842479734
     6966     2892.7999507346785322     1245.7521697382928778       -2.5185215479900900     -265.3067166042601457      -72.9041761772568861       -1.8064001707309081        0.0086145984407771       -0.0341178609735567
     6967     2894.1141511734349479     1247.7633229298205606       -2.8059570703841619     -265.4300263498453205      -72.1809176766596465       -2.0453552778628463        0.0530458435618626       -0.0357285554751232
     6968     2895.5486959214090348     1249.9296365691548090       -3.1003400808169523     -265.0987186044053487      -71.2398034159250528       -2.2974855575880180        0.1092984524304022       -0.0373782403232137
     6969     2897.1004785858135619     1252.2358154103403649       -3.4024316617845889     -264.1929095062723718      -70.0442457947981438       -2.5633434129110642        0.1779133598589638       -0.0390335614146331
     6970     2898.7661415003603906     1254.6643138521587844       -3.7130121332273225     -262.5879670934109527      -68.5565713539911030       -2.8432900299361834        0.2592689280748307       -0.0406588025922191
     6971     2900.5420863808185459     1257.1951845683172451       -4.0328844558901213     -260.1560982600672105      -66.7385824373432115       -3.1374744848898239        0.3535773960701705       -0.0422157912919088
     6972     2902.4244867653251276     1259.8059426214226733       -4.3628513344419950     -256.7680287187599788      -64.5521475432731222       -3.4458210126059465        0.4608706846724510       -0.0436646610126508
     6973     2904.4093021889511874     1262.4714510193562091       -4.7037356426661310     -252.2948287155531943      -61.9598329515654314       -3.7680099017389197        0.5809848842495650       -0.0449638075383898
     6974     2906.4922943938599929     1265.1638327893274436       -5.0563572486193866     -246.6098094606759332      -58.9255525295825464       -4.1034654558520636        0.7135615556496596       -0.0460707485743381
     6975     2908.6690452685588753     1267.8524152191253052       -5.4215333281501836     -239.5904975642642967      -55.4152366888386041       -4.4513434871964286        0.8580324345848109       -0.0469421360012933
     6976     2910.9349765917504556     1270.5037112117649940       -5.8000729957315116     -231.1206293539753460      -51.3975000057214402       -4.8105173971795514        1.0136298805199866       -0.0475337316068624
     6977     2913.2853718152200599     1273.0814424552841047       -6.1927655810730871     -221.0922548356406878      -46.8443350156871929       -5.1795680350202984        1.1793569653743146       -0.0478017006292551
     6978     2915.7153993155789067     1275.5466085677894625       -6.6003699700557021     -209.4078058389204671      -41.7317844591016183       -5.5567787571280878        1.3540246118184800       -0.0477030377757975
